accessionnr	aantal.aminozuren	uit	categorie	land	jaar	kenmerken
AAA43181	83	Avian	H11N9	Australia	1975	Influenza A virus (A/tern/australia/1975(H11N9))
AAA43199	109	Avian	H5N3	Australia	1975	Influenza A virus (A/shearwater/Australia/1975(H5N3))
AAA43107	565	Equine	H3N8	United Kingdom	1976	Influenza A virus (A/equine/New Market/1976(H3N8))
AAA43219	564	Avian	H4N6	New Zealand	1976	Influenza A virus (A/duck/New Zealand/31/1976(H4N6))
AAB50961	360	Avian	H1N1	Hong Kong	1976	Influenza A virus (A/goose/Hong Kong/8/1976(H1N1))
AAB50962	385	Avian	H1N1	Hong Kong	1976	Influenza A virus (A/chicken/Hong Kong/14/1976(H1N1))
AAC54381	370	Avian	H7	Australia	1976	Influenza A virus (A/duck/Victoria/76(H7N?))
AAD13570	557	Avian	H5N3	Hong Kong	1977	Influenza A virus (A/duck/Hong Kong/205/1977(H5N3))
AAA43212	548	Swine	H3N2	Hong Kong	1978	Influenza A virus (A/swine/Hong Kong/81/1978(H3N2))
AAA43243	562	Avian	H2N2	Hong Kong	1978	Influenza A virus (A/duck/Hong Kong/273/78 (H2N2))
AAC54379	560	Avian	H7N2	Hong Kong	1978	Influenza A virus (A/duck/Hong Kong/293/1978(H7N2))
AAC54393	336	Avian	H5N2	Hong Kong	1978	Influenza A virus (A/duck/Hong Kong/342/78(H5N2))
AAA43182	550	Human	H3N2	Thailand	1979	Influenza A virus (A/Bangkok/1/1979(H3N2))
AAA43217	564	Avian	H4N4	Australia	1979	Influenza A virus (A/gray teal/Australia/2/1979(H4N4))
AAA96134	570	Avian	H15N9	Australia	1979	Influenza A virus (A/shearwater/West Australia/2576/79(H15N9))
AAC54377	562	Avian	H7N7	Germany	1979	Influenza A virus (A/chicken/Leipzig/79(H7N7))
AAD13571	557	Avian	H5N3	Hong Kong	1979	Influenza A virus (A/duck/Hong Kong/698/1979(H5N3))
AAB50965	327	Swine	H1N1	Netherlands	1980	Influenza A virus (A/swine/Netherlands/3/1980(H1N1))
AAB52909	327	Avian	H1N1	Australia	1980	Influenza A virus (A/duck/Australia/749/1980(H1N1))
AAA16905	122	Camel	H1N1	Mongolia	1982	Influenza A virus (A/camel/Mongolia/1982(H1N1))
AAA18781	550	Human	H3N2	Philippines	1982	Influenza A virus (A/Philippines/2/1982(H3N2))
AAA18782	550	Human	H3N2	Philippines	1982	Influenza A virus (A/Philippines/2/1982/BS(H3N2))
AAA43211	548	Swine	H3N2	Hong Kong	1982	Influenza A virus (A/swine/Hong Kong/126/1982(H3N2))
AAA62339	329	Human	H3N2	Philippines	1982	Influenza A virus (A/Philippines/2/1982(H3N2))
AAA92247	570	Avian	H15N8	Australia	1983	Influenza A virus (A/duck/Australia/341/1983(H15N8))
AAB27052	566	Human	H1N1	Kazakhstan	1984	Influenza A virus (A/Alma Ata/1417/84(H1N1))
AAC78093	329	Swine	H3N2	Netherlands	1984	Influenza A virus (A/Swine/Brabant/84(H3N2))
AAA43152	563	Avian	H7N7	Australia	1985	Influenza A virus (A/chicken/Victoria/1/1985(H7N7))
AAA43154	563	Avian	H7N7	Australia	1985	Influenza A virus (A/starling/Victoria/1/1985(H7N7))
AAB50966	327	Swine	H1N1	Netherlands	1985	Influenza A virus (A/swine/Netherlands/12/1985(H1N1))
AAB69837	329	Human	H3N2	New Zealand	1985	Influenza A virus (A/Christchurch/1/1985(H3N2))
AAB69838	329	Human	H3N2	New Zealand	1985	Influenza A virus (A/Christchurch/4/1985(H3N2))
AAB69841	329	Human	H3N2	Thailand	1985	Influenza A virus (A/Bangkok(H3N2))
AAB69843	329	Human	H3N2	Thailand	1985	Influenza A virus (A/Bangkok/25/1985(H3N2))
AAC78092	329	Swine	H3N2	Netherlands	1985	Influenza A virus (A/Swine/Utrecht/4/85(H3N2))
AAC78097	329	Human	H3N2	New Zealand	1985	Influenza A virus (A/Wellington/4/85(H3N2))
AAA43236	344	Human	H1N1	Trinidad Tobago	1986	Influenza A virus (A/Trinidad/2/1986(H1N1))
AAB69839	329	Human	H3N2	Czech Republic	1986	Influenza A virus (A/Czechoslovakia/4/86(H3N2))
AAC57166	566	Swine	H1N1	United Kingdom	1986	Influenza A virus (strain A/swine/England/117316/86)
AAB69824	329	Human	H3N2	Australia	1987	Influenza A virus (A/Sydney/1/1987(H3N2))
AAB69830	329	Human	H3N2	Australia	1987	Influenza A virus (A/Victoria/7/1987(H3N2))
AAA43161	344	Human	H1N1	Czech Republic	1988	Influenza A virus (A/Czechoslovakia/2/1988(H1N1))
AAA43238	344	Human	H1N1	Australia	1988	Influenza A virus (A/Victoria/43/1988(H1N1))
AAA62329	329	Human	H3N2	United Kingdom	1988	Influenza A virus (A/England/427/1988(H3N2))
AAA62330	329	Human	H3N2	United Kingdom	1988	Influenza A virus (A/England/427/1988(H3N2))
AAB66738	329	Human	H3N2	United Kingdom	1988	Influenza A virus (A/England/88(H3N2))
AAB69847	329	Human	H3N2	New Zealand	1988	Influenza A virus (A/Christchurch/2/1988(H3N2))
AAA43158	344	Human	H1N1	Czech Republic	1989	Influenza A virus (A/Czechoslovakia/2/1989(H1N1))
AAB66731	329	Human	H3N2	United Kingdom	1989	Influenza A virus (A/England/648/1989(H3N2))
AAB66739	329	Human	H3N2	Czech Republic	1989	Influenza A virus (A/Czechoslovakia/19/89(H3N2))
AAB66740	329	Human	H3N2	Australia	1989	Influenza A virus (A/Victoria/5/89(H3N2))
AAA16778	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/03/1990(H1N1))
AAA16779	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/06/1990(H1N1))
AAA16808	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/10/1990(H1N1))
AAA16809	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/11/1990(H1N1))
AAA16810	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/12/1990(H1N1))
AAA16811	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/12/1990(H1N1))
AAA16812	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/10/1990(H1N1))
AAA16813	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/11/1990(H1N1))
AAA16814	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/06/1990(H1N1))
AAA16815	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/03/1990(H1N1))
AAA43232	344	Human	H1N1	Singapore	1990	Influenza A virus (A/Singapore/6/1990(H1N1))
AAB66725	329	Human	H3N2	Hong Kong	1990	Influenza A virus (A/Hong Kong/34/1990(H3N2))
AAB66750	329	Human	H3N2	Puerto Rico	1990	Influenza A virus (A/Puerto_Rico/1/90(H3N2))
AAA65546	344	Human	H1N1	Lithuania	1991	Influenza A virus (A/Vilnus/48/1991(H1N1))
AAA74289	344	Human	H1N1	South Korea	1991	Influenza A virus (A/Seoul/20/1991(H1N1))
AAA74290	344	Human	H1N1	Netherlands	1991	Influenza A virus (A/Netherland/813/1991(H1N1))
AAA74291	344	Human	H1N1	Netherlands	1991	Influenza A virus (A/Groningen/9938/1991(H1N1))
AAA74292	344	Human	H1N1	Netherlands	1991	Influenza A virus (A/Groningen/9939/1991(H1N1))
AAB29507	566	Avian	H5N1	United Kingdom	1991	Influenza A virus (A/turkey/England/50-92/1991(H5N1))
AAB63747	329	Human	H3N2	Indonesia	1991	Influenza A virus (A/Indonesia/3109/91(H3N2))
AAB66728	329	Human	H3N2	Singapore	1991	Influenza A virus (A/Singapore/91(H3N2))
AAB66745	329	Human	H3N2	South Korea	1991	Influenza A virus (A/Seoul/45/91(H3N2))
AAB66755	329	Human	H3N2	United Kingdom	1991	Influenza A virus (A/England/261/91(H3N2))
AAC78091	329	Swine	H3N2	Netherlands	1991	Influenza A virus (A/Swine/Netherlands/784/91(H3N2))
AAA62470	565	Equine	H3N8	Hong Kong	1992	Influenza A virus (A/equine/Hong Kong/1/92(H3N8))
AAB63761	329	Human	H3N2	Hong Kong	1992	Influenza A virus (A/Hong_Kong/23/92(H3N2))
AAB66723	329	Human	H3N2	Australia	1992	Influenza A virus (A/Perth/01/92(H3N2))
AAB66747	329	Human	H3N2	Australia	1992	Influenza A virus (A/South Australia/36/1992(H3N2))
AAB66761	329	Human	H3N2	Indonesia	1992	Influenza A virus (A/Indonesia/3946/92(H3N2))
AAB66762	329	Human	H3N2	Singapore	1992	Influenza A virus (A/Singapore/8/92(H3N2))
AAB66763	329	Human	H3N2	Australia	1992	Influenza A virus (A/South Australia/68/1992(H3N2))
AAB66764	329	Human	H3N2	Australia	1992	Influenza A virus (A/Victoria/68/92(H3N2))
AAB66766	329	Human	H3N2	New Zealand	1992	Influenza A virus (A/Wellington/66/92(H3N2))
AAB66767	329	Human	H3N2	Australia	1992	Influenza A virus (A/Victoria/29/92(H3N2))
AAC54376	361	Avian	H7N1	South Africa	1992	Influenza A virus (A/ostrich/South Africa/5352/92(H7N1))
AAC54382	362	Avian	H7N4	South Africa	1992	Influenza A virus (A/softbill/South Africa/142/92(H7N4))
AAC57167	566	Swine	H1N1	United Kingdom	1992	Influenza A virus (strain A/swine/England/195852/92)
AAC57415	566	Swine	H1N7	United Kingdom	1992	Influenza A virus (A/swine/England/191973/92(H1N7))
AAB36975	565	Equine	H3N8	Argentina	1993	Influenza A virus (A/equine/Argentina/1/93(H3N8))
AAB50957	370	Swine	H1N1	Hong Kong	1993	Influenza A virus (A/swine/Hong Kong/168/1993(H1N1))
AAB50958	370	Swine	H1N1	Hong Kong	1993	Influenza A virus (A/swine/Hong Kong/176/1993(H1N1))
AAB50960	432	Swine	H1N1	Hong Kong	1993	Influenza A virus (A/swine/Hong Kong/172/1993(H1N1))
AAB63748	329	Human	H3N2	Australia	1993	Influenza A virus (A/Victoria/1/93(H3N2))
AAB63764	329	Human	H3N2	Argentina	1993	Influenza A virus (A/Argentina/3105/93(H3N2))
AAB66744	329	Human	H3N2	Bulgaria	1993	Influenza A virus (A/Sophia/155/93(H3N2))
AAB69776	329	Human	H3N2	Netherlands	1993	Influenza A virus (A/Netherlands/372/93(H3N2))
AAB69779	329	Human	H3N2	New Zealand	1993	Influenza A virus (A/Christchurch/8/1993(H3N2))
AAB69782	329	Human	H3N2	United Kingdom	1993	Influenza A virus (A/England/220/93(H3N2))
AAB69796	329	Human	H3N2	New Zealand	1993	Influenza A virus (A/Waikato/20/93(H3N2))
AAC57168	566	Swine	H1N1	United Kingdom	1993	Influenza A virus (strain A/swine/England/283902/93)
AAC78088	329	Swine	H3N2	Netherlands	1993	Influenza A virus (A/Swine/Netherlands/849/93(H3N2))
AAC78090	329	Swine	H3N2	Netherlands	1993	Influenza A virus (A/Swine/Netherlands/L2/93(H3N2))
AAC78094	329	Human	H3N2	Netherlands	1993	Influenza A virus (A/Netherlands/5/93(H3N2))
AAC78095	329	Human	H3N2	Netherlands	1993	Influenza A virus (A/Netherlands/35/93(H3N2))
AAB50959	437	Swine	H1N1	Hong Kong	1994	Influenza A virus (A/swine/Hong Kong/273/1994(H1N1))
AAB63709	329	Human	H3N2	Hong Kong	1994	Influenza A virus (A/Hong Kong/1/1994(H3N2))
AAB63710	329	Human	H3N2	Hong Kong	1994	Influenza A virus (A/Hong Kong/55/1994(H3N2))
AAB63711	329	Human	H3N2	South Africa	1994	Influenza A virus (A/Johannesburg/33/1994(H3N2))
AAB63727	329	Human	H3N2	Argentina	1994	Influenza A virus (A/Argentina/3779/94(H3N2))
AAB63729	329	Human	H3N2	Thailand	1994	Influenza A virus (A/Bangkok/122/94(H3N2))
AAB63730	329	Human	H3N2	Thailand	1994	Influenza A virus (A/Thailand/75/94(H3N2))
AAB63731	329	Human	H3N2	Singapore	1994	Influenza A virus (A/Singapore/7/94(H3N2))
AAD05215	566	Swine	H1N2	United Kingdom	1994	Influenza A virus (A/swine/Scotland/410440/94(H1N2))
AAD05216	566	Swine	H1N2	United Kingdom	1994	Influenza A virus (A/swine/England/438207/94(H1N2))
AAB63682	329	Human	H3N2	South Africa	1995	Influenza A virus (A/Johannesburg/17/95(H3N2))
AAB63686	329	Human	H3N2	South Korea	1995	Influenza A virus (A/Kwangju/1/95(H3N2))
AAB63688	329	Human	H3N2	South Korea	1995	Influenza A virus (A/Changwon/9/1995(H3N2))
AAB63692	329	Human	H3N2	Hong Kong	1995	Influenza A virus (A/Hong_Kong/3/95(H3N2))
AAB63693	329	Human	H3N2	Singapore	1995	Influenza A virus (A/Singapore/27/95(H3N2))
AAB63695	329	Human	H3N2	Singapore	1995	Influenza A virus (A/Singapore/28/95(H3N2))
AAB63696	329	Human	H3N2	Hong Kong	1995	Influenza A virus (A/Hong Kong/38/1995(H3N2))
AAB63701	329	Human	H3N2	Argentina	1995	Influenza A virus (A/Argentina/4057/95(H3N2))
AAB63705	329	Human	H3N2	South Africa	1995	Influenza A virus (A/Johannesburg/2/95(H3N2))
AAD05217	566	Swine	H1N2	United Kingdom	1995	Influenza A virus (A/swine/England/690421/95(H1N2))
AAB63706	329	Human	H3N2	Hong Kong	1996	Influenza A virus (A/Hong_Kong/42/96(H3N2))
AAB66778	329	Human	H3N2	Hong Kong	1996	Influenza A virus (A/Hong_Kong/357/96(H3N2))
AAB66781	329	Human	H3N2	New Zealand	1996	Influenza A virus (A/Auckland/5/96(H3N2))
AAB66782	329	Human	H3N2	New Zealand	1996	Influenza A virus (A/Auckland/9/96(H3N2))
AAB66783	329	Human	H3N2	Australia	1996	Influenza A virus (A/Brisbane/35/96(H3N2))
AAB66784	329	Human	H3N2	New Zealand	1996	Influenza A virus (A/Christchurch/1/1996(H3N2))
AAB66786	329	Human	H3N2	New Zealand	1996	Influenza A virus (A/Wellington/48/96(H3N2))
AAB66787	329	Human	H3N2	Australia	1996	Influenza A virus (A/Brisbane/22/96(H3N2))
AAB66803	329	Human	H3N2	South Korea	1996	Influenza A virus (A/Korea/45/96(H3N2))
AAB66806	329	Human	H3N2	United Kingdom	1996	Influenza A virus (A/United_Kingdom/897/96(H3N2))
AAC40998	560	Human	H7N7	United Kingdom	1996	Influenza A virus (A/England/268/1996(H7N7))
AAC78087	329	Swine	H3N2	Netherlands	1996	Influenza A virus (A/Swine/Oedenrode/7C/96(H3N2))
AAC78098	329	Human	H3N2	Netherlands	1996	Influenza A virus (A/Netherlands/172/96(H3N2))
AAD05218	566	Swine	H1N2	United Kingdom	1996	Influenza A virus (A/swine/England/17394/96(H1N2))
AAD05219	566	Swine	H1N2	United Kingdom	1996	Influenza A virus (A/swine/England/72685/96(H1N2))
AAC14418	568	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/Chicken/Hong Kong/258/97 (H5N1))
AAC32078	568	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/Chicken/Hong Kong/220/97 (H5N1))
AAC32088	568	Human	H5N1	Hong Kong	1997	Influenza A virus (A/Hong Kong/156/97(H5N1))
AAC32098	575	Human	H5N1	Hong Kong	1997	Influenza A virus (A/Hong Kong/481/97(H5N1))
AAC32099	568	Human	H5N1	Hong Kong	1997	Influenza A virus (A/Hong Kong/483/1997(H5N1))
AAC32100	568	Human	H5N1	Hong Kong	1997	Influenza A virus (A/Hong Kong/482/97(H5N1))
AAC32101	568	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/Chicken/Hong Kong/728/97 (H5N1))
AAC32102	568	Avian	H5	Hong Kong	1997	Influenza A virus (A/chicken/Hong Kong/915/1997(H5))
AAC34263	552	Human	H5N1	Hong Kong	1997	Influenza A virus (A/Hong Kong/156/97(H5N1))
AAC36738	327	Human	H3N2	Australia	1997	Influenza A virus (A/Sydney/5/1997(H3N2))
AAC40508	568	Human	H5N1	Hong Kong	1997	Influenza A virus (A/Hong Kong/156/97(H5N1))
AAC78086	329	Swine	H3N2	Netherlands	1997	Influenza A virus (A/Swine/Breugel/97(H3N2))
AAD13566	568	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/Chicken/Hong Kong/728/97 (H5N1))
AAD13567	568	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/Chicken/Hong Kong/786/97 (H5N1))
AAD13568	568	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/chicken/Hong Kong/915/97(H5N1))
AAD13569	361	Avian	H5N1	Hong Kong	1997	Influenza A virus (A/chicken/Hong Kong/990/97 (H5N1))
AAA16880	566	Avian	H1N1	USA	1980	Influenza A virus (A/duck/WI/259/80(H1N1))
AAA19934	566	Swine	H1	Canada	1991	Influenza A virus (A/swine/St-Hyacinthe/106/1991(H1))
AAA19935	343	Swine	H1N1	USA	1931	Influenza A virus (A/swine/Iowa/1976/1931(H1N1))
AAA43082	566	Avian	H5N8	Ireland	1983	Influenza A virus (A/duck/Ireland/113/1983(H5N8))
AAA43083	566	Avian	H5N8	Ireland	1983	Influenza A virus (A/turkey/Ireland/1378/1983(H5N8))
AAA43087	560	Avian	H7N3	USA	1971	Influenza A virus (A/turkey/Oregon/1971(H7N3))
AAA43088	562	Avian	H2N3	Canada	1988	Influenza A virus (A/mallard/Alberta/353/1988(H2N3))
AAA43089	562	Human	H2N2	USA	1968	Influenza A virus (A/Berkeley/1/1968(H2N2))
AAA43090	562	Human	H2N2	Germany	1964	Influenza A virus (A/Berlin/3/1964(H2N2))
AAA43094	564	Avian	H5N2	USA	1983	Influenza A virus (A/chicken/Pennsylvania/1/1983(H5N2))
AAA43096	562	Avian	H2N8	USA	1988	Influenza A virus (A/herring gull/DE/677/1988(H2N8))
AAA43099	566	Human	H3N2	Russia	1972	Influenza A virus (A/Udorn/307/1972(H3N2))
AAA43100	565	Equine	H3N8	Algeria	1972	Influenza A virus (A/equine/Algiers/1972(H3N8))
AAA43101	565	Equine	H3N8	France	1976	Influenza A virus (A/equine/Fontainebleau/1976(H3N8))
AAA43102	565	Equine	H3N8	USA	1986	Influenza A virus (A/equine/Kentucky/2/1986(H3N8))
AAA43103	565	Equine	H3N8	USA	1987	Influenza A virus (A/equine/Kentucky/1/1987(H3N8))
AAA43105	565	Equine	H3N8	USA	1963	Influenza A virus (A/equine/Miami/1/1963(H3N8))
AAA43109	565	Equine	H3N8	Romania	1980	Influenza A virus (A/equine/Romania/1980(H3N8))
AAA43110	565	Equine	H3N8	Chile	1985	Influenza A virus (A/equine/Santiago/1/1985(H3N8))
AAA43111	565	Equine	H3N8	Japan	1971	Influenza A virus (A/equine/Tokyo/1971(H3N8))
AAA43112	565	Equine	H3N8	USA	1985	Influenza A virus (A/equine/Tennessee/5/1985(H3N8))
AAA43114	565	Equine	H3N8	Uruguay	1963	Influenza A virus (A/equine/Uruguay/1/1963(H3N8))
AAA43117	562	Avian	H2N9	Germany	1972	Influenza A virus (A/duck/GDR/72 (H2N9))
AAA43142	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/168/1991(H1N1))
AAA43143	550	Avian	H3	Japan	1977	Influenza A virus (A/duck/5/1977(H3))
AAA43144	550	Avian	H3	Japan	1980	Influenza A virus (A/duck/8/1980(H3))
AAA43145	550	Avian	H3	Japan	1980	Influenza A virus (A/duck/33/1980(H3))
AAA43146	550	Avian	H3	Japan	1982	Influenza A virus (A/duck/7/1982(H3))
AAA43147	550	Avian	H3	Japan	1982	Influenza A virus (A/duck/21/1982(H3))
AAA43148	550	Avian	H3	Japan	1985	Influenza A virus (A/duck/9/1985(H3))
AAA43149	550	Avian	H3	Japan	1985	Influenza A virus (A/duck/10/1985(H3))
AAA43150	563	Avian	H7N1	Germany	1934	Influenza A virus (A/chicken/Rostock/8/1934(H7N1))
AAA43151	571	Equine	H3N8	China	1989	Influenza A virus (A/equine/Jilin/1/1989(H3N8))
AAA43153	344	Human	H1N1	USA	1990	Influenza A virus (A/Arizona/1/1990(H1N1))
AAA43155	345	Human	H3N2	USA	1981	Influenza A virus (A/Alabama/1/1981(H3N2))
AAA43156	345	Human	H3N2	USA	1985	Influenza A virus (A/HT/24269/1985(H3N2))
AAA43157	344	Human	H1N1	Canada	1988	Influenza A virus (A/Canada/7/1988(H1N1))
AAA43159	547	Avian	H5N2	USA	1983	Influenza A virus (A/chicken/Pennsylvania/1370/1983(H5N2))
AAA43160	547	Avian	H5N2	USA	1983	Influenza A virus (A/chicken/Pennsylvania/1/1983(H5N2))
AAA43162	345	Human	H3N2	Ecuador	1986	Influenza A virus (A/Equador/4/1986(H3N2))
AAA43164	565	Equine	H3N8	USA	1963	Influenza A virus (A/equine/Miami/1963(H3N8))
AAA43165	345	Human	H3N2	USA	1987	Influenza A virus (A/Wyoming/3/1987(H3N2))
AAA43166	344	Human	H1N1	Fiji	1988	Influenza A virus (A/Fiji/2/1988(H1N1))
AAA43167	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/158/1991(H1N1))
AAA43168	344	Human	H1N1	France	1989	Influenza A virus (A/Franch/6908/1989(H1N1))
AAA43169	344	Human	H1N1	France	1988	Influenza A virus (A/France/15/1988(H1N1))
AAA43170	344	Human	H1N1	Japan	1988	Influenza A virus (A/Fukushima/2/1988(H1N1))
AAA43171	566	Human	H1N1	Russia	1954	Influenza A virus (A/Leningrad/1954/1(H1N1))
AAA43172	566	Human	H1N1	Ukraine	1979	Influenza A virus (A/Kiev/59/1979(H1N1))
AAA43175	344	Human	H1N2	China	1989	Influenza A virus (A/Harbin/1/1989(H1N2))
AAA43176	344	Human	H1N2	China	1988	Influenza A virus (A/Harbin/1/1988(H1N2))
AAA43177	100	Avian	H8N4	Canada	1968	Influenza A virus (A/turkey/Ontario/6118/1968(H8N4))
AAA43178	566	Human	H3N2	Japan	1968	Influenza A virus (A/Aichi/2/1968(H3N2))
AAA43179	101	Avian	H4N6	Canada	1976	Influenza A virus (A/duck/Alberta/28/1976(H4N6))
AAA43180	101	Avian	H12N5	Canada	1976	Influenza A virus (A/duck/Alberta/60/1976(H12N5))
AAA43185	562	Human	H2N2	Japan	1957	Influenza A virus (A/Japan/305/1957(H2N2))
AAA43186	106	Avian	H10N7	Canada	1953	Influenza A virus (A/duck/Manitoba/1953(H10N7))
AAA43187	566	Human	H3N2	USA	1971	Influenza A virus (A/Memphis/1/1971(H3N2))
AAA43188	100	Avian	H11N9	USA	1976	Influenza A virus (A/duck/memphis/546/1976(H11N9))
AAA43190	344	Human	H1N1	USA	1990	Influenza A virus (A/Massachusetts/1/1990(H1N1))
AAA43191	100	Avian	H11N6	USA	1978	Influenza A virus (A/duck/New York/12/1978(H11N6))
AAA43192	108	Avian	H7N3	USA	1971	Influenza A virus (A/turkey/Oregon/1971(H7N3))
AAA43196	108	Human	H2N2	USA	1957	Influenza A virus (A/RI/5-/1957(H2N2))
AAA43200	40	Human	H3N2	Russia	1972	Influenza A virus (A/udorn/1972(H3N2))
AAA43203	100	Avian	H11N	Ukraine	1960	Influenza A virus (A/duck/ukraine/1/1960(H11N))
AAA43205	565	Avian	H5N9	Canada	1966	Influenza A virus (A/turkey/Ontario/7732/1966(H5N9))
AAA43206	566	Human	H1N1	Russia	1977	Influenza A virus (A/USSR/90/1977(H1N1))
AAA43208	99	Avian	H9N2	USA	1966	Influenza A virus (A/turkey/Wisconsin/1/1966(H9N2))
AAA43213	565	Avian	H13N6	Russia	1984	Influenza A virus (A/black-headed gull/Astrakhan/227/84(H13N6))
AAA43214	566	Avian	H13N6	USA	1977	Influenza A virus (A/ring-billed gull/Maryland/704/1977(H13N6))
AAA43215	566	Whale	H13N2	USA	1984	Influenza A virus (A/pilot whale/Maine/328 HN/1984(H13N2))
AAA43218	564	Avian	H4N6	Japan	1977	Influenza A virus (A/budgerigar/Hokkaido/1/1977(H4N6))
AAA43220	564	Avian	H4N6	Canada	1976	Influenza A virus (A/duck/Alberta/28/1976(H4N6))
AAA43221	564	Avian	H4	USA	1975	Influenza A virus (A/chicken/Alabama/1/1975(H4N8))
AAA43222	564	Avian	H4N6	USA	1985	Influenza A virus (A/ruddy turnstone/New Jersey/47/1985(H4N6))
AAA43223	564	Avian	H4N2	USA	1980	Influenza A virus (A/turkey/Minnesota/833/1980(H4N2))
AAA43224	450	Seal	H4N5	USA	1982	Influenza A virus (A/seal/Massachussetts/133/1982(H4N5))
AAA43225	344	Human	H1N1	China	1991	Influenza A virus (A/Qingdao/28/1991(H1N1))
AAA43226	329	Human	H3N2	China	1987	Influenza A virus (A/Shanghai/11/1987/X99aE high yield reassortant(H3N2))
AAA43227	329	Human	H3N2	China	1987	Influenza A virus (A/Shanghai/11/1987/X99a/high yield reassortant(H3N2))
AAA43228	329	Human	H3N2	China	1987	Influenza A virus (A/Shanghai/11/1987/X99/high yielding reassortant(H3N2))
AAA43229	329	Human	H3N2	China	1987	Influenza A virus (A/Shanghai/11/1987/low yield(H3N2))
AAA43230	329	Human	H3N2	China	1987	Influenza A virus (A/Shanghai/11/1987/high yield(H3N2))
AAA43231	344	Human	H1N1	China	1988	Influenza A virus (A/Sichuan/4/1988(H1N1))
AAA43233	344	Human	H1N1	USA	1988	Influenza A virus (A/South Carolina/6/1988(H1N1))
AAA43234	344	Human	H1N1	Sweden	1990	Influenza A virus (A/Stockholm/26/1990(H1N1))
AAA43235	344	Human	H1N1	USA	1990	Influenza A virus (A/Texas/22/1990(H1N1))
AAA43237	563	Avian	H7N1	Germany	1934	Influenza A virus (A/ts1/1/A/FPV/Rostock/1934(H7N1))
AAA43239	566	Human	H3N2	Japan	1968	Influenza A virus (A/Aichi/2/1968(H3N2))
AAA43240	342	Human	H1N1	Russia	1977	Influenza A virus (A/USSR/90/1977(H1N1))
